run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:35,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:36,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:37,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
